Task,Category,Priority
Buy Netflix movie by tomorrow,Personal,Low
Go to yoga session for next week,Personal,Medium
Develop sprint plan for next week,Work,Medium
Fix office workstation,Work,Medium
Review contract for freelancer for next week,Work,Medium
Play Netflix movie today,Personal,Low
Practice history essay,Study,Medium
Write psychology notes by tomorrow,Study,Medium
Analyze team meeting as soon as possible,Work,High
Organize client proposal for next week,Work,Medium
Read biology chapter as soon as possible,Study,Medium
Complete machine learning tutorial as soon as possible,Study,Medium
Schedule LinkedIn profile immediately,Work,High
Draft budget sheet,Work,Medium
Buy football with friends as soon as possible,Personal,Low
Submit project report today,Work,High
Watch yoga session today,Personal,Low
Take notes for coding challenge by tomorrow,Study,Medium
Study chemistry lab report by tomorrow,Study,Medium
Organize car as soon as possible,Personal,Medium
Practice coding challenge today,Study,Medium
Listen to yoga session as soon as possible,Personal,Medium
Attend business lead today,Work,Medium
Call quarterly sales data for next week,Work,Medium
Attend marketing strategy by tomorrow,Work,Medium
Buy wardrobe by tomorrow,Personal,Medium
Complete psychology notes immediately,Study,High
Read thesis introduction,Study,Medium
Listen to electricity bill by tomorrow,Personal,High
Revise thesis introduction,Study,Medium
Attend favorite podcast for next week,Personal,Low
Buy wardrobe immediately,Personal,High
Email client proposal by tomorrow,Work,Medium
Visit football with friends today,Personal,Low
Research LinkedIn profile immediately,Work,High
Clean garden plants as soon as possible,Personal,Low
Practice physics numericals today,Study,Medium
Practice chemistry lab report by tomorrow,Study,Medium
Go to dancing class for next week,Personal,Low
Clean favorite podcast,Personal,Low
Analyze business lead,Work,Medium
Analyze bug in production today,Work,High
Water weekly groceries today,Personal,Medium
Wash living room immediately,Personal,High
Write chemistry lab report,Study,Medium
Coordinate bug in production,Work,High
Pay weekend trip for next week,Personal,Low
Memorize biology chapter as soon as possible,Study,Medium
Schedule project report as soon as possible,Work,Medium
Attend English vocabulary,Study,Medium
Review sprint plan as soon as possible,Work,Medium
Develop business lead,Work,Medium
Listen to yoga session today,Personal,Medium
Water Netflix movie immediately,Personal,High
Prepare machine learning tutorial,Study,Medium
Watch history essay as soon as possible,Study,Low
Draft code documentation,Work,Medium
Memorize university library books immediately,Study,High
Exercise weekend trip as soon as possible,Personal,Low
Prepare coding challenge by tomorrow,Study,Medium
Study chemistry lab report for next week,Study,Medium
Complete final exam today,Study,High
Read geography project by tomorrow,Study,Medium
Wash gym workout,Personal,Medium
Take notes for biology chapter as soon as possible,Study,Medium
Prepare geography project immediately,Study,High
Go to living room for next week,Personal,Medium
Listen to garden plants today,Personal,Medium
Develop software feature today,Work,Medium
Submit software feature by tomorrow,Work,High
Clean Netflix movie as soon as possible,Personal,Low
Develop team meeting,Work,High
Buy garden plants today,Personal,Medium
Go to favorite podcast today,Personal,Low
Memorize chemistry lab report today,Study,Medium
Complete coding challenge by tomorrow,Study,Medium
Fix bug in production for next week,Work,High
Fix quarterly sales data,Work,Medium
Organize favorite podcast as soon as possible,Personal,Low
Attend football with friends,Personal,Low
Research online course as soon as possible,Study,Medium
Attend psychology notes as soon as possible,Study,Medium
Organize favorite podcast today,Personal,Low
Wash electricity bill as soon as possible,Personal,High
Schedule business lead as soon as possible,Work,Medium
Listen to healthy dinner immediately,Personal,High
Attend thesis introduction by tomorrow,Study,Medium
Review server maintenance for next week,Work,Medium
Complete geography project as soon as possible,Study,Medium
Solve psychology notes,Study,Medium
Take notes for thesis introduction today,Study,Medium
Analyze office workstation for next week,Work,Medium
Complete project report as soon as possible,Work,Medium
Plan healthy dinner,Personal,Medium
Complete final exam by tomorrow,Study,High
Take notes for university library books by tomorrow,Study,Medium
Fix marketing strategy by tomorrow,Work,Medium
Plan weekend trip by tomorrow,Personal,Low
Watch football with friends today,Personal,Low
Update business lead today,Work,Medium
Pay weekend trip today,Personal,Low
Cook Netflix movie immediately,Personal,High
Review business lead,Work,Medium
Organize Netflix movie today,Personal,Low
Present server maintenance by tomorrow,Work,Medium
Buy weekend trip as soon as possible,Personal,Low
Coordinate project report as soon as possible,Work,Medium
Coordinate client proposal immediately,Work,High
Buy car for next week,Personal,Medium
Organize football with friends,Personal,Low
Call contract for freelancer for next week,Work,Medium
Plan dancing class for next week,Personal,Low
Practice online course today,Study,Medium
Coordinate project report,Work,Medium
Cook football with friends today,Personal,Low
Analyze business lead immediately,Work,High
Memorize coding challenge immediately,Study,High
Fix quarterly sales data today,Work,Medium
Submit quarterly sales data by tomorrow,Work,High
Organize favorite podcast for next week,Personal,Low
Prepare physics numericals today,Study,Medium
Buy garden plants as soon as possible,Personal,Medium
Practice machine learning tutorial as soon as possible,Study,Medium
Schedule sprint plan today,Work,Medium
Revise coding challenge immediately,Study,High
Water car by tomorrow,Personal,Medium
Review software feature immediately,Work,High
Play dancing class immediately,Personal,High
Complete machine learning tutorial for next week,Study,Medium
Plan football with friends immediately,Personal,High
Submit biology chapter as soon as possible,Study,High
Submit client proposal for next week,Work,High
Present team meeting immediately,Work,High
Submit bug in production today,Work,High
Call project report today,Work,Medium
Organize business lead immediately,Work,High
Update server maintenance by tomorrow,Work,Medium
Research team meeting today,Work,High
Watch weekly groceries for next week,Personal,Low
Visit favorite podcast for next week,Personal,Low
Clean healthy dinner by tomorrow,Personal,Low
Clean wardrobe today,Personal,Low
Watch dancing class today,Personal,Low
Buy Netflix movie,Personal,Low
Organize software feature today,Work,Medium
Complete coding challenge as soon as possible,Study,Medium
Wash healthy dinner for next week,Personal,Medium
Attend project report by tomorrow,Work,Medium
Prepare geography project as soon as possible,Study,Medium
Analyze business lead by tomorrow,Work,Medium
Plan living room,Personal,Medium
Research contract for freelancer for next week,Work,Medium
Coordinate budget sheet for next week,Work,Medium
Memorize university library books,Study,Medium
Complete team meeting today,Work,High
Take notes for chemistry lab report as soon as possible,Study,Medium
Fix business lead,Work,Medium
Cook weekly groceries today,Personal,Medium
Present contract for freelancer today,Work,Medium
Clean weekend trip,Personal,Low
Attend chemistry lab report today,Study,Medium
Complete code documentation as soon as possible,Work,Medium
Call code documentation by tomorrow,Work,Medium
Write coding challenge for next week,Study,Medium
Update LinkedIn profile today,Work,Medium
Attend electricity bill by tomorrow,Personal,High
Analyze LinkedIn profile for next week,Work,Medium
Research biology chapter as soon as possible,Study,Medium
Watch healthy dinner for next week,Personal,Low
Fix budget sheet immediately,Work,High
Write history essay for next week,Study,Medium
Attend university library books today,Study,Medium
Study online course by tomorrow,Study,Medium
Submit contract for freelancer,Work,High
Write thesis introduction today,Study,Medium
Complete physics numericals as soon as possible,Study,Medium
Plan yoga session as soon as possible,Personal,Medium
Update contract for freelancer immediately,Work,High
Write history essay today,Study,Medium
Develop budget sheet,Work,Medium
Exercise dancing class by tomorrow,Personal,Low
Revise coding challenge for next week,Study,Medium
Go to car by tomorrow,Personal,Medium
Submit bug in production for next week,Work,High
Study coding challenge immediately,Study,High
Fix LinkedIn profile as soon as possible,Work,Medium
Develop contract for freelancer for next week,Work,Medium
Study psychology notes today,Study,Medium
Clean gym workout by tomorrow,Personal,Low
Write math assignment for next week,Study,Medium
Organize bug in production immediately,Work,High
Complete university library books by tomorrow,Study,Medium
Review budget sheet for next week,Work,Medium
Take notes for physics numericals immediately,Study,High
Submit machine learning tutorial by tomorrow,Study,High
Complete sprint plan by tomorrow,Work,Medium
Revise physics numericals as soon as possible,Study,Medium
Attend project report,Work,Medium
Present software feature as soon as possible,Work,Medium
Research final exam for next week,Study,High
Submit thesis introduction,Study,High
Attend code documentation today,Work,Medium
Analyze client proposal today,Work,Medium
Clean favorite podcast today,Personal,Low
Call team meeting as soon as possible,Work,High
Review team meeting today,Work,High
Buy weekly groceries,Personal,Medium
Submit history essay today,Study,High
Solve university library books for next week,Study,Medium
Buy healthy dinner as soon as possible,Personal,Medium
Organize Netflix movie immediately,Personal,High
Write math assignment immediately,Study,High
Prepare final exam,Study,High
Solve coding challenge immediately,Study,High
Memorize university library books for next week,Study,Medium
Attend chemistry lab report for next week,Study,Medium
Submit geography project today,Study,High
Watch thesis introduction by tomorrow,Study,Low
Attend bug in production immediately,Work,High
Submit online course as soon as possible,Study,High
Read university library books immediately,Study,High
Call business lead,Work,Medium
Practice English vocabulary today,Study,Medium
Write geography project today,Study,Medium
Water dancing class today,Personal,Low
Complete LinkedIn profile,Work,Medium
Buy car,Personal,Medium
Review client proposal,Work,Medium
Email sprint plan as soon as possible,Work,Medium
Prepare math assignment by tomorrow,Study,Medium
Listen to car,Personal,Medium
Clean Netflix movie,Personal,Low
Revise final exam immediately,Study,High
Watch history essay today,Study,Low
Attend final exam as soon as possible,Study,High
Study university library books today,Study,Medium
Call budget sheet by tomorrow,Work,Medium
Solve coding challenge today,Study,Medium
Practice physics numericals immediately,Study,High
Complete contract for freelancer by tomorrow,Work,Medium
Wash garden plants as soon as possible,Personal,Medium
Schedule server maintenance today,Work,Medium
Wash wardrobe for next week,Personal,Medium
Research online course for next week,Study,Medium
Present bug in production today,Work,High
Wash Netflix movie,Personal,Low
Watch biology chapter today,Study,Low
Study geography project,Study,Medium
Go to yoga session,Personal,Medium
Coordinate software feature immediately,Work,High
Solve chemistry lab report today,Study,Medium
Schedule budget sheet as soon as possible,Work,Medium
Plan car for next week,Personal,Medium
Play healthy dinner today,Personal,Medium
Write chemistry lab report for next week,Study,Medium
Review quarterly sales data immediately,Work,High
Pay garden plants today,Personal,Medium
Analyze contract for freelancer today,Work,Medium
Complete code documentation immediately,Work,High
Exercise healthy dinner today,Personal,Medium
Watch car by tomorrow,Personal,Low
Analyze sprint plan,Work,Medium
Watch chemistry lab report,Study,Low
Play yoga session by tomorrow,Personal,Medium
Write math assignment by tomorrow,Study,Medium
Visit Netflix movie,Personal,Low
Draft budget sheet for next week,Work,Medium
Practice history essay as soon as possible,Study,Medium
Attend dentist appointment as soon as possible,Personal,Medium
Organize garden plants immediately,Personal,High
Complete business lead,Work,Medium
Go to electricity bill,Personal,High
Schedule project report by tomorrow,Work,Medium
Draft LinkedIn profile today,Work,Medium
Review quarterly sales data for next week,Work,Medium
Research English vocabulary,Study,Medium
Exercise weekly groceries for next week,Personal,Medium
Exercise garden plants by tomorrow,Personal,Medium
Read coding challenge today,Study,Medium
Go to healthy dinner for next week,Personal,Medium
Revise psychology notes today,Study,Medium
Exercise gym workout by tomorrow,Personal,Medium
Go to weekly groceries as soon as possible,Personal,Medium
Research bug in production for next week,Work,High
Email software feature immediately,Work,High
Clean dentist appointment immediately,Personal,High
Organize code documentation as soon as possible,Work,Medium
Pay garden plants for next week,Personal,Medium
Visit dentist appointment immediately,Personal,High
Plan Netflix movie as soon as possible,Personal,Low
Attend bug in production by tomorrow,Work,High
Complete geography project by tomorrow,Study,Medium
Draft LinkedIn profile immediately,Work,High
Watch dentist appointment immediately,Personal,High
Attend client proposal immediately,Work,High
Study thesis introduction immediately,Study,High
Email software feature for next week,Work,Medium
Memorize history essay,Study,Medium
Attend thesis introduction today,Study,Medium
Wash living room as soon as possible,Personal,Medium
Call sprint plan immediately,Work,High
Wash gym workout as soon as possible,Personal,Medium
Schedule project report,Work,Medium
Solve psychology notes as soon as possible,Study,Medium
Complete online course for next week,Study,Medium
Plan favorite podcast for next week,Personal,Low
Play car today,Personal,Medium
Exercise football with friends today,Personal,Low
Memorize geography project by tomorrow,Study,Medium
Visit weekly groceries as soon as possible,Personal,Medium
Organize Netflix movie as soon as possible,Personal,Low
Submit contract for freelancer as soon as possible,Work,High
Email quarterly sales data by tomorrow,Work,Medium
Buy dancing class today,Personal,Low
Develop client proposal as soon as possible,Work,Medium
Watch dentist appointment as soon as possible,Personal,Low
Review LinkedIn profile by tomorrow,Work,Medium
Read history essay for next week,Study,Medium
Organize garden plants as soon as possible,Personal,Medium
Take notes for online course by tomorrow,Study,Medium
Email project report as soon as possible,Work,Medium
Organize wardrobe immediately,Personal,High
Email client proposal for next week,Work,Medium
Exercise weekend trip for next week,Personal,Low
Practice final exam by tomorrow,Study,High
Wash football with friends for next week,Personal,Low
Schedule LinkedIn profile by tomorrow,Work,Medium
Cook dentist appointment as soon as possible,Personal,Medium
Analyze quarterly sales data for next week,Work,Medium
Attend budget sheet immediately,Work,High
Play living room by tomorrow,Personal,Medium
Review office workstation for next week,Work,Medium
Develop budget sheet by tomorrow,Work,Medium
Attend marketing strategy immediately,Work,High
Attend server maintenance by tomorrow,Work,Medium
Memorize machine learning tutorial immediately,Study,High
Pay yoga session,Personal,Medium
Buy gym workout immediately,Personal,High
Draft budget sheet today,Work,Medium
Prepare university library books,Study,Medium
Attend garden plants,Personal,Medium
Submit university library books by tomorrow,Study,High
Watch dentist appointment for next week,Personal,Low
Research psychology notes by tomorrow,Study,Medium
Write final exam as soon as possible,Study,High
Go to football with friends by tomorrow,Personal,Low
Email project report today,Work,Medium
Plan electricity bill,Personal,High
Memorize thesis introduction for next week,Study,Medium
Visit football with friends immediately,Personal,High
Water garden plants today,Personal,Medium
Plan living room for next week,Personal,Medium
Water weekly groceries,Personal,Medium
Review quarterly sales data,Work,Medium
Clean yoga session by tomorrow,Personal,Low
Visit gym workout by tomorrow,Personal,Medium
Watch physics numericals as soon as possible,Study,Low
Draft quarterly sales data for next week,Work,Medium
Take notes for machine learning tutorial by tomorrow,Study,Medium
Draft budget sheet immediately,Work,High
Pay living room today,Personal,Medium
Listen to car for next week,Personal,Medium
Submit online course immediately,Study,High
Read chemistry lab report by tomorrow,Study,Medium
Develop sprint plan immediately,Work,High
Practice math assignment by tomorrow,Study,Medium
Submit team meeting for next week,Work,High
Memorize university library books by tomorrow,Study,Medium
Review server maintenance as soon as possible,Work,Medium
Develop sprint plan,Work,Medium
Research machine learning tutorial immediately,Study,High
Submit contract for freelancer today,Work,High
Exercise football with friends immediately,Personal,High
Revise machine learning tutorial by tomorrow,Study,Medium
Attend history essay today,Study,Medium
Practice coding challenge for next week,Study,Medium
Develop project report today,Work,Medium
Solve university library books as soon as possible,Study,Medium
Present LinkedIn profile today,Work,Medium
Practice machine learning tutorial,Study,Medium
Read history essay as soon as possible,Study,Medium
Attend marketing strategy for next week,Work,Medium
Attend football with friends by tomorrow,Personal,Low
Pay yoga session immediately,Personal,High
Organize healthy dinner,Personal,Medium
Fix contract for freelancer immediately,Work,High
Organize bug in production for next week,Work,High
Take notes for thesis introduction,Study,Medium
Complete English vocabulary by tomorrow,Study,Medium
Call code documentation as soon as possible,Work,Medium
Review server maintenance immediately,Work,High
Submit psychology notes,Study,High
Go to gym workout for next week,Personal,Medium
Analyze contract for freelancer by tomorrow,Work,Medium
Go to garden plants immediately,Personal,High
Research business lead,Work,Medium
Listen to garden plants,Personal,Medium
Organize business lead,Work,Medium
Watch gym workout by tomorrow,Personal,Low
Call business lead for next week,Work,Medium
Present client proposal for next week,Work,Medium
Watch math assignment,Study,Low
Watch Netflix movie,Personal,Low
Go to car for next week,Personal,Medium
Buy healthy dinner today,Personal,Medium
Complete software feature by tomorrow,Work,Medium
Complete office workstation today,Work,Medium
Watch biology chapter for next week,Study,Low
Present bug in production for next week,Work,High
Memorize chemistry lab report immediately,Study,High
Exercise electricity bill by tomorrow,Personal,High
Organize client proposal as soon as possible,Work,Medium
Analyze office workstation immediately,Work,High
Play football with friends,Personal,Low
Clean living room today,Personal,Low
Practice English vocabulary,Study,Medium
Listen to living room by tomorrow,Personal,Medium
Organize quarterly sales data for next week,Work,Medium
Attend LinkedIn profile,Work,Medium
Attend gym workout,Personal,Medium
Wash garden plants for next week,Personal,Medium
Research team meeting,Work,High
Coordinate office workstation immediately,Work,High
Clean Netflix movie immediately,Personal,High
Submit final exam immediately,Study,High
Watch biology chapter immediately,Study,High
Research code documentation for next week,Work,Medium
Listen to football with friends as soon as possible,Personal,Low
Coordinate project report for next week,Work,Medium
Plan dancing class as soon as possible,Personal,Low
Cook weekend trip as soon as possible,Personal,Low
Fix server maintenance today,Work,Medium
Present contract for freelancer as soon as possible,Work,Medium
Go to living room immediately,Personal,High
Cook living room by tomorrow,Personal,Medium
Analyze LinkedIn profile by tomorrow,Work,Medium
Solve biology chapter as soon as possible,Study,Medium
Visit yoga session as soon as possible,Personal,Medium
Solve final exam immediately,Study,High
Go to Netflix movie,Personal,Low
Revise physics numericals for next week,Study,Medium
Go to Netflix movie for next week,Personal,Low
Develop office workstation immediately,Work,High
Water dancing class immediately,Personal,High
Prepare final exam today,Study,High
Update budget sheet immediately,Work,High
Coordinate business lead today,Work,Medium
Wash gym workout by tomorrow,Personal,Medium
Exercise Netflix movie for next week,Personal,Low
Call contract for freelancer as soon as possible,Work,Medium
Research bug in production,Work,High
Review code documentation,Work,Medium
Revise thesis introduction for next week,Study,Medium
Submit team meeting immediately,Work,High
Watch final exam,Study,High
Revise biology chapter today,Study,Medium
Watch Netflix movie as soon as possible,Personal,Low
Develop sprint plan today,Work,Medium
Complete math assignment by tomorrow,Study,Medium
Email server maintenance by tomorrow,Work,Medium
Attend weekly groceries for next week,Personal,Medium
Email bug in production for next week,Work,High
Complete history essay today,Study,Medium
Organize sprint plan immediately,Work,High
Study history essay,Study,Medium
Attend LinkedIn profile immediately,Work,High
Solve university library books today,Study,Medium
Attend physics numericals,Study,Medium
Listen to garden plants as soon as possible,Personal,Medium
Present project report by tomorrow,Work,Medium
Organize weekly groceries,Personal,Medium
Memorize biology chapter,Study,Medium
Attend software feature,Work,Medium
Organize favorite podcast by tomorrow,Personal,Low
Review sprint plan immediately,Work,High
Email office workstation by tomorrow,Work,Medium
Prepare online course immediately,Study,High
Draft office workstation as soon as possible,Work,Medium
Fix project report today,Work,Medium
Wash healthy dinner by tomorrow,Personal,Medium
Research contract for freelancer by tomorrow,Work,Medium
Analyze budget sheet for next week,Work,Medium
Organize software feature as soon as possible,Work,Medium
Practice chemistry lab report today,Study,Medium
Draft code documentation immediately,Work,High
Submit math assignment for next week,Study,High
Practice geography project by tomorrow,Study,Medium
Draft software feature for next week,Work,Medium
Fix project report,Work,Medium
Memorize final exam by tomorrow,Study,High
Pay electricity bill for next week,Personal,High
Play weekend trip today,Personal,Low
Submit marketing strategy,Work,High
Study online course today,Study,Medium
Attend geography project for next week,Study,Medium
Watch university library books today,Study,Low
Prepare thesis introduction by tomorrow,Study,Medium
Solve biology chapter today,Study,Medium
Prepare final exam for next week,Study,High
Watch favorite podcast today,Personal,Low
Cook favorite podcast as soon as possible,Personal,Low
Submit budget sheet as soon as possible,Work,High
Attend car,Personal,Medium
Water yoga session by tomorrow,Personal,Medium
Coordinate business lead by tomorrow,Work,Medium
Analyze software feature,Work,Medium
Revise machine learning tutorial,Study,Medium
Organize software feature by tomorrow,Work,Medium
Attend healthy dinner today,Personal,Medium
Wash wardrobe today,Personal,Medium
Organize team meeting as soon as possible,Work,High
Clean electricity bill by tomorrow,Personal,High
Organize software feature for next week,Work,Medium
Call software feature as soon as possible,Work,Medium
Clean yoga session today,Personal,Low
Research biology chapter today,Study,Medium
Email team meeting for next week,Work,High
Prepare final exam by tomorrow,Study,High
Call marketing strategy by tomorrow,Work,Medium
Attend contract for freelancer by tomorrow,Work,Medium
Revise psychology notes,Study,Medium
Present server maintenance as soon as possible,Work,Medium
Draft code documentation by tomorrow,Work,Medium
Draft contract for freelancer as soon as possible,Work,Medium
Buy car immediately,Personal,High
Review team meeting by tomorrow,Work,High
Water weekend trip today,Personal,Low
Solve coding challenge by tomorrow,Study,Medium
Plan healthy dinner as soon as possible,Personal,Medium
Submit budget sheet immediately,Work,High
Draft bug in production by tomorrow,Work,High
Call server maintenance as soon as possible,Work,Medium
Pay dancing class for next week,Personal,Low
Practice online course immediately,Study,High
Study psychology notes,Study,Medium
Memorize biology chapter immediately,Study,High
Email marketing strategy as soon as possible,Work,Medium
Water dancing class,Personal,Low
Schedule office workstation by tomorrow,Work,Medium
Read machine learning tutorial by tomorrow,Study,Medium
Organize weekend trip,Personal,Low
Cook dentist appointment,Personal,Medium
Organize electricity bill by tomorrow,Personal,High
Attend LinkedIn profile as soon as possible,Work,Medium
Solve biology chapter immediately,Study,High
Organize favorite podcast,Personal,Low
Draft marketing strategy for next week,Work,Medium
Practice chemistry lab report as soon as possible,Study,Medium
Review client proposal by tomorrow,Work,Medium
Write English vocabulary today,Study,Medium
Complete geography project immediately,Study,High
Call budget sheet immediately,Work,High
Write psychology notes today,Study,Medium
Exercise weekly groceries immediately,Personal,High
Watch garden plants today,Personal,Low
Pay yoga session by tomorrow,Personal,Medium
Play weekend trip by tomorrow,Personal,Low
Present client proposal as soon as possible,Work,Medium
Buy weekly groceries by tomorrow,Personal,Medium
Buy yoga session for next week,Personal,Medium
Attend LinkedIn profile by tomorrow,Work,Medium
Read chemistry lab report as soon as possible,Study,Medium
Update client proposal today,Work,Medium
Present team meeting for next week,Work,High
Complete biology chapter for next week,Study,Medium
Review client proposal as soon as possible,Work,Medium
Listen to gym workout for next week,Personal,Medium
Research coding challenge as soon as possible,Study,Medium
Draft sprint plan immediately,Work,High
Exercise electricity bill today,Personal,High
Submit thesis introduction today,Study,High
Pay favorite podcast immediately,Personal,High
Clean dancing class,Personal,Low
Prepare online course today,Study,Medium
Organize healthy dinner immediately,Personal,High
Take notes for final exam,Study,High
Review client proposal today,Work,Medium
Practice online course by tomorrow,Study,Medium
Coordinate office workstation for next week,Work,Medium
Play gym workout immediately,Personal,High
Analyze quarterly sales data immediately,Work,High
Fix contract for freelancer,Work,Medium
Clean dancing class as soon as possible,Personal,Low
Cook healthy dinner as soon as possible,Personal,Medium
Cook car as soon as possible,Personal,Medium
Research server maintenance for next week,Work,Medium
Submit math assignment today,Study,High
Submit English vocabulary today,Study,High
Organize dancing class by tomorrow,Personal,Low
Research client proposal for next week,Work,Medium
Draft office workstation by tomorrow,Work,Medium
Schedule marketing strategy by tomorrow,Work,Medium
Attend psychology notes by tomorrow,Study,Medium
Solve math assignment by tomorrow,Study,Medium
Coordinate budget sheet by tomorrow,Work,Medium
Wash yoga session immediately,Personal,High
Play Netflix movie as soon as possible,Personal,Low
Solve online course by tomorrow,Study,Medium
Organize living room,Personal,Medium
Revise history essay as soon as possible,Study,Medium
Organize budget sheet for next week,Work,Medium
Solve coding challenge as soon as possible,Study,Medium
Write chemistry lab report today,Study,Medium
Email server maintenance today,Work,Medium
Complete office workstation by tomorrow,Work,Medium
Organize marketing strategy as soon as possible,Work,Medium
Research server maintenance today,Work,Medium
Pay dancing class as soon as possible,Personal,Low
Email software feature as soon as possible,Work,Medium
Attend budget sheet for next week,Work,Medium
Attend machine learning tutorial today,Study,Medium
Revise history essay,Study,Medium
Attend psychology notes today,Study,Medium
Watch university library books for next week,Study,Low
Wash dentist appointment by tomorrow,Personal,Medium
Play car as soon as possible,Personal,Medium
Watch online course as soon as possible,Study,Low
Attend electricity bill today,Personal,High
Watch math assignment for next week,Study,Low
Present office workstation today,Work,Medium
Email marketing strategy today,Work,Medium
Email quarterly sales data immediately,Work,High
Water electricity bill by tomorrow,Personal,High
Read biology chapter by tomorrow,Study,Medium
Practice geography project as soon as possible,Study,Medium
Solve physics numericals by tomorrow,Study,Medium
Prepare biology chapter for next week,Study,Medium
Fix LinkedIn profile today,Work,Medium
Clean weekend trip immediately,Personal,High
Coordinate marketing strategy by tomorrow,Work,Medium
Go to car immediately,Personal,High
Schedule bug in production for next week,Work,High
Attend team meeting,Work,High
Pay yoga session for next week,Personal,Medium
Memorize thesis introduction immediately,Study,High
Wash dancing class for next week,Personal,Low
Present sprint plan today,Work,Medium
Attend weekend trip today,Personal,Low
Complete sprint plan immediately,Work,High
Take notes for machine learning tutorial immediately,Study,High
Take notes for psychology notes today,Study,Medium
Listen to wardrobe,Personal,Medium
Practice biology chapter for next week,Study,Medium
Complete university library books immediately,Study,High
Submit project report by tomorrow,Work,High
Review team meeting as soon as possible,Work,High
Clean football with friends immediately,Personal,High
Organize code documentation immediately,Work,High
Visit Netflix movie immediately,Personal,High
Complete quarterly sales data as soon as possible,Work,Medium
Attend office workstation as soon as possible,Work,Medium
Listen to wardrobe by tomorrow,Personal,Medium
Update business lead immediately,Work,High
Attend living room as soon as possible,Personal,Medium
Research marketing strategy today,Work,Medium
Cook weekend trip today,Personal,Low
Attend coding challenge as soon as possible,Study,Medium
Review server maintenance today,Work,Medium
Write physics numericals immediately,Study,High
Research online course immediately,Study,High
Watch thesis introduction today,Study,Low
Organize LinkedIn profile immediately,Work,High
Memorize history essay as soon as possible,Study,Medium
Cook car by tomorrow,Personal,Medium
Memorize English vocabulary by tomorrow,Study,Medium
Write online course immediately,Study,High
Attend budget sheet today,Work,Medium
Organize sprint plan today,Work,Medium
Draft sprint plan as soon as possible,Work,Medium
Coordinate bug in production for next week,Work,High
Read final exam immediately,Study,High
Review quarterly sales data by tomorrow,Work,Medium
Organize business lead for next week,Work,Medium
Cook favorite podcast today,Personal,Low
Analyze project report by tomorrow,Work,Medium
Coordinate budget sheet today,Work,Medium
Submit office workstation today,Work,High
Prepare university library books today,Study,Medium
Cook dancing class for next week,Personal,Low
Revise geography project for next week,Study,Medium
Review sprint plan for next week,Work,Medium
Play garden plants for next week,Personal,Medium
Attend sprint plan,Work,Medium
Play living room for next week,Personal,Medium
Call contract for freelancer by tomorrow,Work,Medium
Research software feature by tomorrow,Work,Medium
Coordinate budget sheet immediately,Work,High
Analyze bug in production for next week,Work,High
Buy Netflix movie as soon as possible,Personal,Low
Pay car today,Personal,Medium
Clean dancing class by tomorrow,Personal,Low
Complete server maintenance immediately,Work,High
Pay football with friends,Personal,Low
Exercise favorite podcast today,Personal,Low
Visit weekend trip for next week,Personal,Low
Fix software feature today,Work,Medium
Complete quarterly sales data for next week,Work,Medium
Clean wardrobe for next week,Personal,Low
Call quarterly sales data immediately,Work,High
Review code documentation by tomorrow,Work,Medium
Wash dancing class today,Personal,Low
Water dancing class as soon as possible,Personal,Low
Study psychology notes by tomorrow,Study,Medium
Submit business lead by tomorrow,Work,High
Email LinkedIn profile today,Work,Medium
Coordinate software feature today,Work,Medium
Clean electricity bill for next week,Personal,High
Memorize biology chapter for next week,Study,Medium
Coordinate LinkedIn profile by tomorrow,Work,Medium
Take notes for thesis introduction for next week,Study,Medium
Clean healthy dinner immediately,Personal,High
Cook dentist appointment immediately,Personal,High
Draft project report by tomorrow,Work,Medium
Prepare university library books by tomorrow,Study,Medium
Fix budget sheet,Work,Medium
Go to weekly groceries immediately,Personal,High
Go to wardrobe by tomorrow,Personal,Medium
Cook electricity bill for next week,Personal,High
Study geography project by tomorrow,Study,Medium
Review project report today,Work,Medium
Attend business lead,Work,Medium
Wash favorite podcast by tomorrow,Personal,Low
Watch physics numericals today,Study,Low
Coordinate code documentation by tomorrow,Work,Medium
Submit client proposal immediately,Work,High
Submit chemistry lab report today,Study,High
Prepare physics numericals by tomorrow,Study,Medium
Revise physics numericals immediately,Study,High
Play football with friends today,Personal,Low
Call project report,Work,Medium
Exercise weekend trip immediately,Personal,High
Read online course as soon as possible,Study,Medium
Solve math assignment,Study,Medium
Watch electricity bill,Personal,High
Organize car for next week,Personal,Medium
Take notes for English vocabulary today,Study,Medium
Watch machine learning tutorial,Study,Low
Coordinate team meeting,Work,High
Study English vocabulary for next week,Study,Medium
Update client proposal,Work,Medium
Email budget sheet by tomorrow,Work,Medium
Complete English vocabulary for next week,Study,Medium
Attend chemistry lab report,Study,Medium
Buy dancing class as soon as possible,Personal,Low
Memorize final exam as soon as possible,Study,High
Draft server maintenance for next week,Work,Medium
Coordinate sprint plan immediately,Work,High
Update office workstation as soon as possible,Work,Medium
Analyze office workstation,Work,Medium
Go to garden plants as soon as possible,Personal,Medium
Watch wardrobe by tomorrow,Personal,Low
Clean garden plants,Personal,Low
Analyze sprint plan today,Work,Medium
Organize sprint plan,Work,Medium
Present project report for next week,Work,Medium
Email client proposal as soon as possible,Work,Medium
Take notes for physics numericals for next week,Study,Medium
Attend dancing class,Personal,Low
Present team meeting today,Work,High
